O75144	Q5TFQ8
P29508	P48595
P30740	P48595
P05543	Q86WD7
P08185	Q86WD7
P30740	Q9UIV8
Q13424	Q8TBB1
O00212	Q8WWW0
A4D1S0	O75596
P45974	P46379
P43243	P98175
P22626	Q4VXU2
P52756	Q4VXU2
O00635	Q86UV7
O15553	Q86XT4
Q86XN8	Q8IWZ3
P63146	Q8N7F7
P62820	Q8N8L6
A0AV96	Q8WVV9
O94885	Q92625
Q14247	Q92968
P19474	Q96A61
Q86UV7	Q96A61
Q86UL8	Q96JY6
Q8TEW0	Q96NW7
Q504T8	Q9H1I8
P61077	Q9H347
Q6ICB4	Q9H4M7
O15021	Q9H5P4
Q8N6K7	Q9H694
Q96JY6	Q9H6Y5
Q9H0E9	Q9H8M2
Q9BYZ8	Q9NNX6
Q8N8L6	Q9NP72
Q7L804	Q9NXU5
A4D1S0	Q9UJ71
Q6UX15	Q9Y240
Q5U5Q3	Q9Y2W6
P48742	Q13418
Q96PC5	Q9H3Y6
P29074	Q9NRD5
P17022	Q9UKS7
P08185	P35237
P29622	P35237
O15085	P57735
P59190	Q5VVW2
Q5VVW2	Q92730
P51149	Q9NZN5
Q9NP62	Q9NR09
Q96NW4	Q9H0F7
P04180	P06858
Q12840	Q9BW19
A1E959	P18075
Q9UH65	Q9Y4K3
P50570	Q9Y6V0
Q8TAS1	Q9HCP0
P39059	Q8WZ75
P20809	P24394
P41146	Q01718
O00635	Q14653
P28827	Q8WZ75
P41002	Q96RU8
P29460	Q9NYY1
P24593	Q9UJU2
O00213	Q9NZV1
P07204	P35968
P10070	P41182
P46531	P54753
P04085	Q8N441
P40225	Q99665
O14522	Q9BY67
Q96PX8	Q9HCK4
P51805	Q9UM47
O00144	Q5SQQ9
Q2TAL6	Q9UPN9
P33681	P37173
P25103	P41231
P04233	Q6A162
O75604	Q6PIF6
P01111	P52566
Q8NET5	Q92956
